X,Y,Z
5.633870000000000000e+05,4.375943000000000000e+06,4.355790410000000001e-01
5.633890000000000000e+05,4.375943000000000000e+06,3.063350690000000154e-01
5.633790000000000000e+05,4.375945000000000000e+06,1.102587240000000079e+00
5.633810000000000000e+05,4.375945000000000000e+06,9.666149349999999529e-01
5.633830000000000000e+05,4.375945000000000000e+06,7.673626989999999815e-01
5.633850000000000000e+05,4.375945000000000000e+06,5.711956009999999972e-01
5.633870000000000000e+05,4.375945000000000000e+06,4.042010460000000083e-01
5.633890000000000000e+05,4.375945000000000000e+06,2.557773609999999809e-01
5.633910000000000000e+05,4.375945000000000000e+06,1.239371950000000000e-01
5.633930000000000000e+05,4.375945000000000000e+06,5.001627449999999919e-02
5.633710000000000000e+05,4.375947000000000000e+06,1.543277879999999991e+00
5.633730000000000000e+05,4.375947000000000000e+06,1.474050899999999942e+00
5.633750000000000000e+05,4.375947000000000000e+06,1.350664190000000042e+00
5.633770000000000000e+05,4.375947000000000000e+06,1.242845449999999907e+00
5.633790000000000000e+05,4.375947000000000000e+06,1.146551319999999929e+00
5.633810000000000000e+05,4.375947000000000000e+06,1.027152529999999953e+00
5.633830000000000000e+05,4.375947000000000000e+06,8.636762730000000499e-01
5.633850000000000000e+05,4.375947000000000000e+06,6.580499659999999862e-01
5.633870000000000000e+05,4.375947000000000000e+06,4.650476299999999896e-01
5.633890000000000000e+05,4.375947000000000000e+06,3.020766349999999822e-01
5.633910000000000000e+05,4.375947000000000000e+06,1.754747070000000075e-01
5.633930000000000000e+05,4.375947000000000000e+06,9.036023159999999332e-02
5.633950000000000000e+05,4.375947000000000000e+06,4.527558489999999880e-02
5.633630000000000000e+05,4.375949000000000000e+06,1.401168369999999941e+00
5.633650000000000000e+05,4.375949000000000000e+06,1.499852959999999902e+00
5.633670000000000000e+05,4.375949000000000000e+06,1.566954680000000044e+00
5.633690000000000000e+05,4.375949000000000000e+06,1.644906159999999895e+00
5.633710000000000000e+05,4.375949000000000000e+06,1.661446509999999988e+00
5.633730000000000000e+05,4.375949000000000000e+06,1.570512179999999924e+00
5.633750000000000000e+05,4.375949000000000000e+06,1.438384850000000048e+00
5.633770000000000000e+05,4.375949000000000000e+06,1.317649110000000068e+00
5.633790000000000000e+05,4.375949000000000000e+06,1.211669950000000107e+00
5.633810000000000000e+05,4.375949000000000000e+06,1.093967630000000080e+00
5.633830000000000000e+05,4.375949000000000000e+06,9.430718839999999714e-01
5.633850000000000000e+05,4.375949000000000000e+06,7.568305910000000525e-01
5.633870000000000000e+05,4.375949000000000000e+06,5.768915350000000108e-01
5.633890000000000000e+05,4.375949000000000000e+06,4.131163359999999729e-01
5.633910000000000000e+05,4.375949000000000000e+06,2.720763099999999879e-01
5.633930000000000000e+05,4.375949000000000000e+06,1.617604089999999939e-01
5.633950000000000000e+05,4.375949000000000000e+06,9.297558640000000429e-02
5.633970000000000000e+05,4.375949000000000000e+06,8.801590110000000189e-02
5.633550000000000000e+05,4.375951000000000000e+06,1.136499509999999935e+00
5.633570000000000000e+05,4.375951000000000000e+06,1.324632709999999935e+00
5.633590000000000000e+05,4.375951000000000000e+06,1.440506459999999933e+00
5.633610000000000000e+05,4.375951000000000000e+06,1.507824339999999985e+00
5.633630000000000000e+05,4.375951000000000000e+06,1.577371379999999990e+00
5.633650000000000000e+05,4.375951000000000000e+06,1.641202330000000043e+00
5.633670000000000000e+05,4.375951000000000000e+06,1.680424879999999899e+00
5.633690000000000000e+05,4.375951000000000000e+06,1.715519440000000007e+00
5.633710000000000000e+05,4.375951000000000000e+06,1.708971709999999922e+00
5.633730000000000000e+05,4.375951000000000000e+06,1.642200759999999926e+00
5.633750000000000000e+05,4.375951000000000000e+06,1.539869340000000086e+00
5.633770000000000000e+05,4.375951000000000000e+06,1.421545370000000030e+00
5.633790000000000000e+05,4.375951000000000000e+06,1.300527449999999918e+00
5.633810000000000000e+05,4.375951000000000000e+06,1.170318570000000058e+00
5.633830000000000000e+05,4.375951000000000000e+06,1.024731779999999981e+00
5.633850000000000000e+05,4.375951000000000000e+06,8.584140319999999935e-01
5.633870000000000000e+05,4.375951000000000000e+06,6.956215169999999670e-01
5.633890000000000000e+05,4.375951000000000000e+06,5.445100950000000273e-01
5.633910000000000000e+05,4.375951000000000000e+06,3.974166379999999887e-01
5.633930000000000000e+05,4.375951000000000000e+06,2.622847079999999775e-01
5.633950000000000000e+05,4.375951000000000000e+06,1.712034920000000127e-01
5.633970000000000000e+05,4.375951000000000000e+06,1.311666979999999982e-01
5.633990000000000000e+05,4.375951000000000000e+06,1.082214509999999963e-01
5.633470000000000000e+05,4.375953000000000000e+06,1.150974109999999939e+00
5.633490000000000000e+05,4.375953000000000000e+06,1.148331830000000053e+00
5.633510000000000000e+05,4.375953000000000000e+06,1.131599540000000070e+00
5.633530000000000000e+05,4.375953000000000000e+06,1.191556829999999900e+00
5.633550000000000000e+05,4.375953000000000000e+06,1.350578800000000079e+00
5.633570000000000000e+05,4.375953000000000000e+06,1.519946760000000063e+00
5.633590000000000000e+05,4.375953000000000000e+06,1.594060529999999920e+00
5.633610000000000000e+05,4.375953000000000000e+06,1.604456789999999966e+00
5.633630000000000000e+05,4.375953000000000000e+06,1.628407769999999921e+00
5.633650000000000000e+05,4.375953000000000000e+06,1.662649379999999955e+00
5.633670000000000000e+05,4.375953000000000000e+06,1.696647599999999922e+00
5.633690000000000000e+05,4.375953000000000000e+06,1.720781609999999962e+00
5.633710000000000000e+05,4.375953000000000000e+06,1.725964080000000012e+00
5.633730000000000000e+05,4.375953000000000000e+06,1.700758039999999971e+00
5.633750000000000000e+05,4.375953000000000000e+06,1.635149970000000064e+00
5.633770000000000000e+05,4.375953000000000000e+06,1.528587090000000037e+00
5.633790000000000000e+05,4.375953000000000000e+06,1.396917989999999943e+00
5.633810000000000000e+05,4.375953000000000000e+06,1.255498659999999989e+00
5.633830000000000000e+05,4.375953000000000000e+06,1.112725270000000100e+00
5.633850000000000000e+05,4.375953000000000000e+06,9.670926399999999479e-01
5.633870000000000000e+05,4.375953000000000000e+06,8.229170660000000304e-01
5.633890000000000000e+05,4.375953000000000000e+06,6.856271200000000343e-01
5.633910000000000000e+05,4.375953000000000000e+06,5.447032290000000110e-01
5.633930000000000000e+05,4.375953000000000000e+06,3.995541049999999927e-01
5.633950000000000000e+05,4.375953000000000000e+06,2.815604680000000082e-01
5.633970000000000000e+05,4.375953000000000000e+06,1.959964120000000087e-01
5.633990000000000000e+05,4.375953000000000000e+06,1.367117999999999944e-01
5.634010000000000000e+05,4.375953000000000000e+06,1.263038579999999911e-01
5.633410000000000000e+05,4.375955000000000000e+06,1.111799549999999970e+00
5.633430000000000000e+05,4.375955000000000000e+06,1.240972610000000032e+00
5.633450000000000000e+05,4.375955000000000000e+06,1.357370629999999911e+00
5.633470000000000000e+05,4.375955000000000000e+06,1.410325910000000071e+00
5.633490000000000000e+05,4.375955000000000000e+06,1.387755810000000034e+00
5.633510000000000000e+05,4.375955000000000000e+06,1.349904030000000033e+00
5.633530000000000000e+05,4.375955000000000000e+06,1.371329749999999903e+00
5.633550000000000000e+05,4.375955000000000000e+06,1.469031839999999978e+00
5.633570000000000000e+05,4.375955000000000000e+06,1.565887159999999945e+00
5.633590000000000000e+05,4.375955000000000000e+06,1.598088460000000044e+00
5.633610000000000000e+05,4.375955000000000000e+06,1.600018060000000020e+00
5.633630000000000000e+05,4.375955000000000000e+06,1.616439989999999938e+00
5.633650000000000000e+05,4.375955000000000000e+06,1.647171060000000020e+00
5.633670000000000000e+05,4.375955000000000000e+06,1.681427489999999914e+00
5.633690000000000000e+05,4.375955000000000000e+06,1.708874360000000037e+00
5.633710000000000000e+05,4.375955000000000000e+06,1.728938389999999936e+00
5.633730000000000000e+05,4.375955000000000000e+06,1.734380239999999906e+00
5.633750000000000000e+05,4.375955000000000000e+06,1.705961019999999939e+00
5.633770000000000000e+05,4.375955000000000000e+06,1.625287790000000010e+00
5.633790000000000000e+05,4.375955000000000000e+06,1.501173759999999913e+00
5.633810000000000000e+05,4.375955000000000000e+06,1.356612970000000029e+00
5.633830000000000000e+05,4.375955000000000000e+06,1.213794590000000007e+00
5.633850000000000000e+05,4.375955000000000000e+06,1.080554419999999904e+00
5.633870000000000000e+05,4.375955000000000000e+06,9.561335909999999494e-01
5.633890000000000000e+05,4.375955000000000000e+06,8.349840609999999996e-01
5.633910000000000000e+05,4.375955000000000000e+06,7.069612990000000430e-01
5.633930000000000000e+05,4.375955000000000000e+06,5.607196779999999992e-01
5.633950000000000000e+05,4.375955000000000000e+06,4.111687580000000231e-01
5.633970000000000000e+05,4.375955000000000000e+06,2.854722960000000143e-01
5.633990000000000000e+05,4.375955000000000000e+06,1.951506560000000057e-01
5.634010000000000000e+05,4.375955000000000000e+06,1.560614989999999924e-01
5.633390000000000000e+05,4.375957000000000000e+06,1.383155879999999893e+00
5.633410000000000000e+05,4.375957000000000000e+06,1.499299090000000056e+00
5.633430000000000000e+05,4.375957000000000000e+06,1.569799729999999949e+00
5.633450000000000000e+05,4.375957000000000000e+06,1.625543200000000077e+00
5.633470000000000000e+05,4.375957000000000000e+06,1.626106580000000079e+00
5.633490000000000000e+05,4.375957000000000000e+06,1.574456419999999968e+00
5.633510000000000000e+05,4.375957000000000000e+06,1.503577869999999983e+00
5.633530000000000000e+05,4.375957000000000000e+06,1.477788820000000003e+00
5.633550000000000000e+05,4.375957000000000000e+06,1.508846960000000070e+00
5.633570000000000000e+05,4.375957000000000000e+06,1.541509999999999936e+00
5.633590000000000000e+05,4.375957000000000000e+06,1.553007569999999893e+00
5.633610000000000000e+05,4.375957000000000000e+06,1.562962689999999988e+00
5.633630000000000000e+05,4.375957000000000000e+06,1.584111559999999974e+00
5.633650000000000000e+05,4.375957000000000000e+06,1.621197199999999894e+00
5.633670000000000000e+05,4.375957000000000000e+06,1.661286339999999973e+00
5.633690000000000000e+05,4.375957000000000000e+06,1.695225070000000001e+00
5.633710000000000000e+05,4.375957000000000000e+06,1.724962209999999940e+00
5.633730000000000000e+05,4.375957000000000000e+06,1.749982860000000029e+00
5.633750000000000000e+05,4.375957000000000000e+06,1.752123979999999914e+00
5.633770000000000000e+05,4.375957000000000000e+06,1.705317570000000060e+00
5.633790000000000000e+05,4.375957000000000000e+06,1.604826110000000083e+00
5.633810000000000000e+05,4.375957000000000000e+06,1.470244309999999999e+00
5.633830000000000000e+05,4.375957000000000000e+06,1.326092030000000088e+00
5.633850000000000000e+05,4.375957000000000000e+06,1.195420259999999901e+00
5.633870000000000000e+05,4.375957000000000000e+06,1.085328250000000105e+00
5.633890000000000000e+05,4.375957000000000000e+06,9.774660849999999845e-01
5.633910000000000000e+05,4.375957000000000000e+06,8.537880239999999787e-01
5.633930000000000000e+05,4.375957000000000000e+06,7.028877730000000490e-01
