"Date","Time (LST)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/01/01","00:00","-0.89","-","-1.07"
"2018/01/01","01:00","-0.428","-","-0.55"
"2018/01/01","02:00","0.702","-","0.82"
"2018/01/01","03:00","2.202","-","2.38"
"2018/01/01","04:00","3.647","-","3.9"
"2018/01/01","05:00","4.704","-","4.61"
"2018/01/01","06:00","5.209","-","5.3"
"2018/01/01","07:00","5.085","-","5.14"
"2018/01/01","08:00","4.319","-","4.24"
"2018/01/01","09:00","3.05","-","2.99"
"2018/01/01","10:00","1.578","-","1.29"
"2018/01/01","11:00","0.246","-","0.25"
"2018/01/01","12:00","-0.663","-","-0.59"
"2018/01/01","13:00","-0.928","-","-0.99"
"2018/01/01","14:00","-0.453","-","-0.53"
"2018/01/01","15:00","0.611","-","0.64"
"2018/01/01","16:00","1.889","-","2.2"
"2018/01/01","17:00","3.005","-","2.98"
"2018/01/01","18:00","3.727","-","3.64"
"2018/01/01","19:00","3.924","-","3.88"
"2018/01/01","20:00","3.508","-","3.4"
"2018/01/01","21:00","2.529","-","2.32"
"2018/01/01","22:00","1.247","-","0.89"
"2018/01/01","23:00","0.028","-","-0.49"
"2018/01/02","00:00","-0.805","-","-1.29"
"2018/01/02","01:00","-1.005","-","-1.49"
"2018/01/02","02:00","-0.426","-","-0.89"
"2018/01/02","03:00","0.838","-","0.47"
"2018/01/02","04:00","2.419","-","2.14"
"2018/01/02","05:00","3.873","-","3.45"
"2018/01/02","06:00","4.905","-","4.34"
"2018/01/02","07:00","5.366","-","4.71"
"2018/01/02","08:00","5.156","-","4.64"
"2018/01/02","09:00","4.268","-","3.87"
"2018/01/02","10:00","2.89","-","2.38"
"2018/01/02","11:00","1.358","-","0.82"
"2018/01/02","12:00","0.007","-","-0.4"
"2018/01/02","13:00","-0.876","-","-1.28"
"2018/01/02","14:00","-1.051","-","-1.37"
"2018/01/02","15:00","-0.45","-","-0.73"
"2018/01/02","16:00","0.704","-","0.62"
"2018/01/02","17:00","2.008","-","2.06"
"2018/01/02","18:00","3.121","-","3.06"
"2018/01/02","19:00","3.831","-","3.59"
"2018/01/02","20:00","3.982","-","3.71"
"2018/01/02","21:00","3.48","-","3.09"
"2018/01/02","22:00","2.425","-","1.97"
"2018/01/02","23:00","1.116","-","0.52"
"2018/01/03","00:00","-0.093","-","-0.65"
"2018/01/03","01:00","-0.884","-","-1.42"
"2018/01/03","02:00","-0.993","-","-1.48"
"2018/01/03","03:00","-0.3","-","-0.7"
"2018/01/03","04:00","1.032","-","0.72"
"2018/01/03","05:00","2.601","-","2.4"
"2018/01/03","06:00","4.003","-","3.77"
"2018/01/03","07:00","4.979","-","4.75"
"2018/01/03","08:00","5.365","-","5.3"
"2018/01/03","09:00","5.052","-","5.12"
"2018/01/03","10:00","4.075","-","4.04"
"2018/01/03","11:00","2.66","-","2.52"
"2018/01/03","12:00","1.134","-","1.02"
"2018/01/03","13:00","-0.177","-","-0.26"
"2018/01/03","14:00","-0.971","-","-1"
"2018/01/03","15:00","-1.021","-","-0.94"
"2018/01/03","16:00","-0.327","-","0.15"
"2018/01/03","17:00","0.85","-","1.48"
"2018/01/03","18:00","2.135","-","2.72"
"2018/01/03","19:00","3.22","-","3.72"
"2018/01/03","20:00","3.886","-","4.56"
"2018/01/03","21:00","3.963","-","4.31"
"2018/01/03","22:00","3.395","-","3.9"
"2018/01/03","23:00","2.319","-","3.05"
"2018/01/04","00:00","1.03","-","1.74"
"2018/01/04","01:00","-0.129","-","0.67"
"2018/01/04","02:00","-0.835","-","0.09"
"2018/01/04","03:00","-0.84","-","0.39"
"2018/01/04","04:00","-0.085","-","1.39"
"2018/01/04","05:00","1.226","-","2.81"
"2018/01/04","06:00","2.719","-","4.14"
"2018/01/04","07:00","4.032","-","5.35"
"2018/01/04","08:00","4.91","-","6.41"
"2018/01/04","09:00","5.19","-","6.91"
"2018/01/04","10:00","4.794","-","6.67"
"2018/01/04","11:00","3.787","-","5.57"
"2018/01/04","12:00","2.394","-","4.37"
"2018/01/04","13:00","0.933","-","2.8"
"2018/01/04","14:00","-0.269","-","1.74"
"2018/01/04","15:00","-0.927","-","0.77"
"2018/01/04","16:00","-0.872","-","0.45"
"2018/01/04","17:00","-0.139","-","1.35"
"2018/01/04","18:00","1.02","-","2.13"
"2018/01/04","19:00","2.261","-","3.43"
"2018/01/04","20:00","3.283","-","4.14"
"2018/01/04","21:00","3.871","-","4.88"
"2018/01/04","22:00","3.883","-","4.83"
"2018/01/04","23:00","3.291","-","4.37"
"2018/01/05","00:00","2.234","-","2.98"
"2018/01/05","01:00","1.004","-","1.23"
"2018/01/05","02:00","-0.056","-","-0.12"
"2018/01/05","03:00","-0.65","-","-0.82"
"2018/01/05","04:00","-0.587","-","-0.76"
"2018/01/05","05:00","0.157","-","-0.25"
"2018/01/05","06:00","1.392","-","0.61"
"2018/01/05","07:00","2.772","-","1.84"
"2018/01/05","08:00","3.951","-","2.8"
"2018/01/05","09:00","4.697","-","3.76"
"2018/01/05","10:00","4.878","-","3.64"
"2018/01/05","11:00","4.439","-","3.1"
"2018/01/05","12:00","3.444","-","2.21"
"2018/01/05","13:00","2.121","-","0.8"
"2018/01/05","14:00","0.789","-","-0.69"
"2018/01/05","15:00","-0.255","-","-1.99"
"2018/01/05","16:00","-0.784","-","-2.49"
"2018/01/05","17:00","-0.662","-","-2.56"
"2018/01/05","18:00","0.079","-","-1.94"
"2018/01/05","19:00","1.203","-","-1.14"
"2018/01/05","20:00","2.368","-","-0.05"
"2018/01/05","21:00","3.295","-","0.71"
"2018/01/05","22:00","3.806","-","1.08"
"2018/01/05","23:00","3.781","-","1.22"
"2018/01/06","00:00","3.19","-","0.84"
"2018/01/06","01:00","2.181","-","-0.1"
"2018/01/06","02:00","1.057","-","-1.27"
"2018/01/06","03:00","0.126","-","-2.26"
"2018/01/06","04:00","-0.381","-","-2.75"
"2018/01/06","05:00","-0.305","-","-2.98"
"2018/01/06","06:00","0.389","-","-2.45"
"2018/01/06","07:00","1.522","-","-1.36"
"2018/01/06","08:00","2.751","-","-0.15"
"2018/01/06","09:00","3.763","-","1.05"
"2018/01/06","10:00","4.379","-","1.58"
"2018/01/06","11:00","4.489","-","1.69"
"2018/01/06","12:00","4.032","-","1.33"
"2018/01/06","13:00","3.08","-","0.6"
"2018/01/06","14:00","1.882","-","0.11"
"2018/01/06","15:00","0.724","-","-0.96"
"2018/01/06","16:00","-0.167","-","-1.82"
"2018/01/06","17:00","-0.599","-","-2.27"
"2018/01/06","18:00","-0.427","-","-2.11"
"2018/01/06","19:00","0.318","-","-1.63"
"2018/01/06","20:00","1.381","-","-0.67"
"2018/01/06","21:00","2.441","-","0.52"
"2018/01/06","22:00","3.274","-","1.49"
"2018/01/06","23:00","3.73","-","2.03"
"2018/01/07","00:00","3.678","-","1.92"
"2018/01/07","01:00","3.101","-","1.43"
"2018/01/07","02:00","2.177","-","0.68"
"2018/01/07","03:00","1.187","-","-0.24"
"2018/01/07","04:00","0.364","-","-1.12"
"2018/01/07","05:00","-0.101","-","-1.71"
"2018/01/07","06:00","-0.036","-","-1.51"
"2018/01/07","07:00","0.597","-","-0.83"
"2018/01/07","08:00","1.6","-","0.37"
"2018/01/07","09:00","2.652","-","1.48"
"2018/01/07","10:00","3.505","-","2.35"
"2018/01/07","11:00","4.018","-","2.91"
"2018/01/07","12:00","4.073","-","2.92"
"2018/01/07","13:00","3.613","-","2.5"
"2018/01/07","14:00","2.747","-","1.64"
"2018/01/07","15:00","1.707","-","0.81"
"2018/01/07","16:00","0.712","-","-0.15"
"2018/01/07","17:00","-0.058","-","-0.89"
"2018/01/07","18:00","-0.403","-","-1.08"
"2018/01/07","19:00","-0.178","-","-0.78"
"2018/01/07","20:00","0.553","-","-0.07"
"2018/01/07","21:00","1.533","-","1.11"
"2018/01/07","22:00","2.496","-","2.08"
"2018/01/07","23:00","3.258","-","2.81"
"2018/01/08","00:00","3.663","-","3.04"
"2018/01/08","01:00","3.586","-","2.98"
"2018/01/08","02:00","3.048","-","2.46"
"2018/01/08","03:00","2.23","-","1.71"
"2018/01/08","04:00","1.348","-","0.81"
"2018/01/08","05:00","0.588","-","-0.12"
"2018/01/08","06:00","0.146","-","-0.52"
"2018/01/08","07:00","0.198","-","-0.33"
"2018/01/08","08:00","0.753","-","0.09"
"2018/01/08","09:00","1.611","-","0.74"
"2018/01/08","10:00","2.503","-","1.44"
"2018/01/08","11:00","3.232","-","2.27"
"2018/01/08","12:00","3.659","-","2.64"
"2018/01/08","13:00","3.669","-","2.42"
"2018/01/08","14:00","3.238","-","1.89"
"2018/01/08","15:00","2.482","-","1.14"
"2018/01/08","16:00","1.583","-","0.2"
"2018/01/08","17:00","0.71","-","-0.53"
"2018/01/08","18:00","0.046","-","-0.99"
"2018/01/08","19:00","-0.207","-","-1.22"
"2018/01/08","20:00","0.059","-","-0.92"
"2018/01/08","21:00","0.76","-","-0.58"
"2018/01/08","22:00","1.669","-","0.43"
"2018/01/08","23:00","2.563","-","1.36"
"2018/01/09","00:00","3.262","-","2.1"
"2018/01/09","01:00","3.615","-","2.5"
"2018/01/09","02:00","3.531","-","2.58"
"2018/01/09","03:00","3.046","-","2.17"
"2018/01/09","04:00","2.303","-","1.41"
"2018/01/09","05:00","1.48","-","0.32"
"2018/01/09","06:00","0.759","-","-0.26"
"2018/01/09","07:00","0.338","-","-0.24"
"2018/01/09","08:00","0.365","-","-0.24"
"2018/01/09","09:00","0.833","-","0.25"
"2018/01/09","10:00","1.569","-","0.77"
"2018/01/09","11:00","2.346","-","1.5"
"2018/01/09","12:00","2.978","-","2.31"
"2018/01/09","13:00","3.336","-","2.64"
"2018/01/09","14:00","3.33","-","2.56"
