X,Y,Z
5.633790000000000000e+05,4.375945000000000000e+06,8.748342470000000093e-01
5.633810000000000000e+05,4.375945000000000000e+06,6.922606529999999481e-01
5.633830000000000000e+05,4.375945000000000000e+06,5.272319079999999714e-01
5.633710000000000000e+05,4.375947000000000000e+06,1.512678570000000056e+00
5.633730000000000000e+05,4.375947000000000000e+06,1.459158629999999901e+00
5.633750000000000000e+05,4.375947000000000000e+06,1.325888409999999906e+00
5.633770000000000000e+05,4.375947000000000000e+06,1.175457909999999995e+00
5.633790000000000000e+05,4.375947000000000000e+06,1.020640599999999898e+00
5.633810000000000000e+05,4.375947000000000000e+06,8.574518009999999579e-01
5.633830000000000000e+05,4.375947000000000000e+06,6.704269680000000120e-01
5.633850000000000000e+05,4.375947000000000000e+06,4.641176690000000105e-01
5.633630000000000000e+05,4.375949000000000000e+06,1.743142460000000060e+00
5.633650000000000000e+05,4.375949000000000000e+06,1.745166819999999896e+00
5.633670000000000000e+05,4.375949000000000000e+06,1.726618970000000086e+00
5.633690000000000000e+05,4.375949000000000000e+06,1.730202510000000027e+00
5.633710000000000000e+05,4.375949000000000000e+06,1.700263139999999895e+00
5.633730000000000000e+05,4.375949000000000000e+06,1.596897330000000004e+00
5.633750000000000000e+05,4.375949000000000000e+06,1.450795190000000012e+00
5.633770000000000000e+05,4.375949000000000000e+06,1.315590119999999974e+00
5.633790000000000000e+05,4.375949000000000000e+06,1.174484220000000079e+00
5.633810000000000000e+05,4.375949000000000000e+06,1.006408970000000069e+00
5.633830000000000000e+05,4.375949000000000000e+06,7.971084109999999612e-01
5.633850000000000000e+05,4.375949000000000000e+06,5.562416060000000551e-01
5.633870000000000000e+05,4.375949000000000000e+06,3.343146579999999868e-01
5.633550000000000000e+05,4.375951000000000000e+06,1.309419139999999926e+00
5.633570000000000000e+05,4.375951000000000000e+06,1.516253520000000021e+00
5.633590000000000000e+05,4.375951000000000000e+06,1.716665310000000000e+00
5.633610000000000000e+05,4.375951000000000000e+06,1.826228769999999946e+00
5.633630000000000000e+05,4.375951000000000000e+06,1.849142559999999991e+00
5.633650000000000000e+05,4.375951000000000000e+06,1.883046030000000037e+00
5.633670000000000000e+05,4.375951000000000000e+06,1.884958979999999951e+00
5.633690000000000000e+05,4.375951000000000000e+06,1.870968359999999997e+00
5.633710000000000000e+05,4.375951000000000000e+06,1.821675799999999956e+00
5.633730000000000000e+05,4.375951000000000000e+06,1.717370590000000030e+00
5.633750000000000000e+05,4.375951000000000000e+06,1.585149169999999996e+00
5.633770000000000000e+05,4.375951000000000000e+06,1.466208839999999958e+00
5.633790000000000000e+05,4.375951000000000000e+06,1.328103199999999928e+00
5.633810000000000000e+05,4.375951000000000000e+06,1.141695340000000058e+00
